camera_base_pose.position.x=1.68631 camera_base_pose.position.y=-0.432733 camera_base_pose.position.z=-0.433672
camera_base_pose.position.x=1.71584 camera_base_pose.position.y=-0.471441 camera_base_pose.position.z=-0.44934
camera_base_pose.position.x=1.74184 camera_base_pose.position.y=-0.508477 camera_base_pose.position.z=-0.467422
camera_base_pose.position.x=1.60853 camera_base_pose.position.y=-0.764938 camera_base_pose.position.z=-0.487907
camera_base_pose.position.x=1.63695 camera_base_pose.position.y=-0.75379 camera_base_pose.position.z=-0.483358
camera_base_pose.position.x=1.59737 camera_base_pose.position.y=-0.660199 camera_base_pose.position.z=-0.419293
camera_base_pose.position.x=1.61424 camera_base_pose.position.y=-0.673829 camera_base_pose.position.z=-0.433171
camera_base_pose.position.x=1.62312 camera_base_pose.position.y=-0.662954 camera_base_pose.position.z=-0.42299
camera_base_pose.position.x=1.62642 camera_base_pose.position.y=-0.650928 camera_base_pose.position.z=-0.408981
camera_base_pose.position.x=1.6435 camera_base_pose.position.y=-0.586652 camera_base_pose.position.z=-0.377395
camera_base_pose.position.x=1.6709 camera_base_pose.position.y=-0.474994 camera_base_pose.position.z=-0.369043
camera_base_pose.position.x=1.70003 camera_base_pose.position.y=-0.450579 camera_base_pose.position.z=-0.397628
camera_base_pose.position.x=1.70675 camera_base_pose.position.y=-0.452654 camera_base_pose.position.z=-0.396288
camera_base_pose.position.x=1.73389 camera_base_pose.position.y=-0.472873 camera_base_pose.position.z=-0.407352
camera_base_pose.position.x=1.76268 camera_base_pose.position.y=-0.469151 camera_base_pose.position.z=-0.403767
camera_base_pose.position.x=1.78124 camera_base_pose.position.y=-0.458628 camera_base_pose.position.z=-0.401189
camera_base_pose.position.x=1.78988 camera_base_pose.position.y=-0.345994 camera_base_pose.position.z=-0.380753
camera_base_pose.position.x=1.8102 camera_base_pose.position.y=-0.283207 camera_base_pose.position.z=-0.322473
camera_base_pose.position.x=1.82693 camera_base_pose.position.y=-0.253657 camera_base_pose.position.z=-0.341335
camera_base_pose.position.x=1.85419 camera_base_pose.position.y=-0.23248 camera_base_pose.position.z=-0.332631
camera_base_pose.position.x=1.87712 camera_base_pose.position.y=-0.245558 camera_base_pose.position.z=-0.347097
camera_base_pose.position.x=1.91639 camera_base_pose.position.y=-0.264779 camera_base_pose.position.z=-0.359031
camera_base_pose.position.x=1.90005 camera_base_pose.position.y=-0.218082 camera_base_pose.position.z=-0.335681
camera_base_pose.position.x=1.9538 camera_base_pose.position.y=-0.251913 camera_base_pose.position.z=-0.361977
