MC_point[4][0]=0.226874, MC_point[4][1]=0.366715, MC_point[4][2]=4.106             Est_LM_camera[4][0]=0.74179, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.65174
MC_point[4][0]=0.215857, MC_point[4][1]=0.371938, MC_point[4][2]=4.025             Est_LM_camera[4][0]=0.745603, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.62542
MC_point[4][0]=0.215857, MC_point[4][1]=0.378478, MC_point[4][2]=4.025             Est_LM_camera[4][0]=0.749564, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.59904
MC_point[4][0]=0.213069, MC_point[4][1]=0.371009, MC_point[4][2]=3.973             Est_LM_camera[4][0]=0.75275, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.57147
MC_point[4][0]=0.20396, MC_point[4][1]=0.370097, MC_point[4][2]=3.922             Est_LM_camera[4][0]=0.755959, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.5443
MC_point[4][0]=0.197586, MC_point[4][1]=0.389215, MC_point[4][2]=3.922             Est_LM_camera[4][0]=0.759461, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.52232
MC_point[4][0]=0.192431, MC_point[4][1]=0.389784, MC_point[4][2]=3.947             Est_LM_camera[4][0]=0.76234, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.49619
MC_point[4][0]=0.175098, MC_point[4][1]=0.381279, MC_point[4][2]=3.848             Est_LM_camera[4][0]=0.764711, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.46805
MC_point[4][0]=0.169897, MC_point[4][1]=0.375495, MC_point[4][2]=3.872             Est_LM_camera[4][0]=0.767481, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.43945
MC_point[4][0]=0.162591, MC_point[4][1]=0.387532, MC_point[4][2]=3.848             Est_LM_camera[4][0]=0.770675, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.41747
MC_point[4][0]=0.155362, MC_point[4][1]=0.405625, MC_point[4][2]=3.824             Est_LM_camera[4][0]=0.771364, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.37382
MC_point[4][0]=0.155362, MC_point[4][1]=0.399412, MC_point[4][2]=3.824             Est_LM_camera[4][0]=0.776369, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.36662
MC_point[4][0]=0.149148, MC_point[4][1]=0.399412, MC_point[4][2]=3.824             Est_LM_camera[4][0]=0.778263, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.34072
MC_point[4][0]=0.135861, MC_point[4][1]=0.404962, MC_point[4][2]=3.8             Est_LM_camera[4][0]=0.780459, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.31688
MC_point[4][0]=0.1289, MC_point[4][1]=0.385917, MC_point[4][2]=3.777             Est_LM_camera[4][0]=0.782605, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.29122
MC_point[4][0]=0.110486, MC_point[4][1]=0.361369, MC_point[4][2]=3.777             Est_LM_camera[4][0]=0.785115, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.27025
MC_point[4][0]=0.103712, MC_point[4][1]=0.367095, MC_point[4][2]=3.754             Est_LM_camera[4][0]=0.789545, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.24687
MC_point[4][0]=0.104348, MC_point[4][1]=0.37978, MC_point[4][2]=3.777             Est_LM_camera[4][0]=0.791223, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.22077
MC_point[4][0]=0.0958434, MC_point[4][1]=0.371868, MC_point[4][2]=3.686             Est_LM_camera[4][0]=0.793594, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.2016
MC_point[4][0]=0.0946993, MC_point[4][1]=0.365093, MC_point[4][2]=3.642             Est_LM_camera[4][0]=0.794709, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.17572
MC_point[4][0]=0.0893169, MC_point[4][1]=0.371439, MC_point[4][2]=3.664             Est_LM_camera[4][0]=0.795913, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.15093
MC_point[4][0]=0.0833625, MC_point[4][1]=0.377393, MC_point[4][2]=3.664             Est_LM_camera[4][0]=0.797285, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.12911
MC_point[4][0]=0.0701859, MC_point[4][1]=0.364324, MC_point[4][2]=3.599             Est_LM_camera[4][0]=0.801093, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.11237
MC_point[4][0]=0.0571394, MC_point[4][1]=0.362841, MC_point[4][2]=3.516             Est_LM_camera[4][0]=0.802474, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.09001
MC_point[4][0]=0.0508404, MC_point[4][1]=0.384717, MC_point[4][2]=3.476             Est_LM_camera[4][0]=0.803602, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.06647
MC_point[4][0]=0.0386666, MC_point[4][1]=0.382841, MC_point[4][2]=3.399             Est_LM_camera[4][0]=0.804288, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.03972
MC_point[4][0]=0.0329576, MC_point[4][1]=0.376886, MC_point[4][2]=3.38             Est_LM_camera[4][0]=0.805529, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.01439
MC_point[4][0]=0.0265871, MC_point[4][1]=0.379745, MC_point[4][2]=3.272             Est_LM_camera[4][0]=0.806581, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.98903
MC_point[4][0]=0.0270177, MC_point[4][1]=0.391842, MC_point[4][2]=3.325             Est_LM_camera[4][0]=0.807118, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.96119
MC_point[4][0]=0.01604, MC_point[4][1]=0.380184, MC_point[4][2]=3.29             Est_LM_camera[4][0]=0.807981, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.93884
MC_point[4][0]=0.00526053, MC_point[4][1]=0.368373, MC_point[4][2]=3.237             Est_LM_camera[4][0]=0.807588, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.90961
MC_point[4][0]=-0.00520528, MC_point[4][1]=0.378064, MC_point[4][2]=3.203             Est_LM_camera[4][0]=0.808284, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.88588
MC_point[4][0]=-0.0104106, MC_point[4][1]=0.378064, MC_point[4][2]=3.203             Est_LM_camera[4][0]=0.809686, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.8647
MC_point[4][0]=-0.0206066, MC_point[4][1]=0.366958, MC_point[4][2]=3.17             Est_LM_camera[4][0]=0.809365, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.83801
MC_point[4][0]=-0.0203986, MC_point[4][1]=0.37648, MC_point[4][2]=3.138             Est_LM_camera[4][0]=0.803597, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.78517
MC_point[4][0]=-0.0253682, MC_point[4][1]=0.365944, MC_point[4][2]=3.122             Est_LM_camera[4][0]=0.803373, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.76063
MC_point[4][0]=-0.0305979, MC_point[4][1]=0.361184, MC_point[4][2]=3.138             Est_LM_camera[4][0]=0.803059, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.73646
MC_point[4][0]=-0.0395751, MC_point[4][1]=0.359351, MC_point[4][2]=3.044             Est_LM_camera[4][0]=0.802641, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.71373
MC_point[4][0]=-0.0443026, MC_point[4][1]=0.36398, MC_point[4][2]=3.029             Est_LM_camera[4][0]=0.80207, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.68963
MC_point[4][0]=-0.0546839, MC_point[4][1]=0.364614, MC_point[4][2]=3.059             Est_LM_camera[4][0]=0.800925, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.66403
MC_point[4][0]=-0.0639926, MC_point[4][1]=0.368902, MC_point[4][2]=3.029             Est_LM_camera[4][0]=0.800695, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.64381
MC_point[4][0]=-0.061563, MC_point[4][1]=0.37102, MC_point[4][2]=2.914             Est_LM_camera[4][0]=0.799672, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.62086
MC_point[4][0]=-0.0666171, MC_point[4][1]=0.371361, MC_point[4][2]=2.928             Est_LM_camera[4][0]=0.795809, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.59344
MC_point[4][0]=-0.0740017, MC_point[4][1]=0.369363, MC_point[4][2]=2.846             Est_LM_camera[4][0]=0.795842, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.57263
MC_point[4][0]=-0.0768311, MC_point[4][1]=0.372297, MC_point[4][2]=2.781             Est_LM_camera[4][0]=0.795571, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.55091
MC_point[4][0]=-0.0920796, MC_point[4][1]=0.369046, MC_point[4][2]=2.833             Est_LM_camera[4][0]=0.796292, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.52773
MC_point[4][0]=-0.0985346, MC_point[4][1]=0.367169, MC_point[4][2]=2.756             Est_LM_camera[4][0]=0.796899, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.50716
MC_point[4][0]=-0.108467, MC_point[4][1]=0.381335, MC_point[4][2]=2.781             Est_LM_camera[4][0]=0.797476, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.49131
MC_point[4][0]=-0.107024, MC_point[4][1]=0.371336, MC_point[4][2]=2.744             Est_LM_camera[4][0]=0.793944, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.46769
MC_point[4][0]=-0.10998, MC_point[4][1]=0.374772, MC_point[4][2]=2.707             Est_LM_camera[4][0]=0.791775, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.44648
MC_point[4][0]=-0.112394, MC_point[4][1]=0.369152, MC_point[4][2]=2.66             Est_LM_camera[4][0]=0.789195, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.42703
MC_point[4][0]=-0.121039, MC_point[4][1]=0.369152, MC_point[4][2]=2.66             Est_LM_camera[4][0]=0.785122, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.40299
MC_point[4][0]=-0.124278, MC_point[4][1]=0.364269, MC_point[4][2]=2.637             Est_LM_camera[4][0]=0.781063, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.38007
MC_point[4][0]=-0.132558, MC_point[4][1]=0.366266, MC_point[4][2]=2.549             Est_LM_camera[4][0]=0.776442, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.3556
MC_point[4][0]=-0.13797, MC_point[4][1]=0.360857, MC_point[4][2]=2.497             Est_LM_camera[4][0]=0.771976, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.33035
MC_point[4][0]=-0.141459, MC_point[4][1]=0.360613, MC_point[4][2]=2.487             Est_LM_camera[4][0]=0.76931, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.30821
MC_point[4][0]=-0.145501, MC_point[4][1]=0.360613, MC_point[4][2]=2.487             Est_LM_camera[4][0]=0.76074, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.26996
MC_point[4][0]=-0.145394, MC_point[4][1]=0.362861, MC_point[4][2]=2.418             Est_LM_camera[4][0]=0.757461, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.25109
MC_point[4][0]=-0.14815, MC_point[4][1]=0.366264, MC_point[4][2]=2.399             Est_LM_camera[4][0]=0.755902, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.23688
MC_point[4][0]=-0.154777, MC_point[4][1]=0.361899, MC_point[4][2]=2.381             Est_LM_camera[4][0]=0.755233, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=2.2256
