ALLrealsec=0 ,realsec=0 ,CameraLM[4][0]=3.01654,CameraLM[4][1]=0.265728
ALLrealsec=23.2758 ,realsec=0.119498 ,CameraLM[6][0]=6.11962,CameraLM[6][1]=-0.163521
ALLrealsec=23.2758 ,realsec=0.119498 ,CameraLM[5][0]=1.9851,CameraLM[5][1]=-0.425048
ALLrealsec=23.4096 ,realsec=0.133863 ,CameraLM[6][0]=5.95125,CameraLM[6][1]=-0.168263
ALLrealsec=23.5247 ,realsec=0.115103 ,CameraLM[6][0]=5.99467,CameraLM[6][1]=-0.168263
ALLrealsec=23.7338 ,realsec=0.086176 ,CameraLM[6][0]=5.94966,CameraLM[6][1]=-0.166683
ALLrealsec=23.8915 ,realsec=0.157647 ,CameraLM[6][0]=5.94808,CameraLM[6][1]=-0.165103
ALLrealsec=24.1492 ,realsec=0.108003 ,CameraLM[6][0]=5.99148,CameraLM[6][1]=-0.165103
ALLrealsec=24.651 ,realsec=0.163573 ,CameraLM[6][0]=5.77871,CameraLM[6][1]=-0.166683
ALLrealsec=24.7011 ,realsec=0.050028 ,CameraLM[6][0]=5.69464,CameraLM[6][1]=-0.166683
ALLrealsec=24.7947 ,realsec=0.093627 ,CameraLM[6][0]=5.78026,CameraLM[6][1]=-0.168263
ALLrealsec=24.8894 ,realsec=0.094659 ,CameraLM[6][0]=5.73953,CameraLM[6][1]=-0.169842
ALLrealsec=25.002 ,realsec=0.112672 ,CameraLM[6][0]=5.78339,CameraLM[6][1]=-0.171421
ALLrealsec=25.0915 ,realsec=0.089491 ,CameraLM[6][0]=5.78497,CameraLM[6][1]=-0.172998
ALLrealsec=25.3478 ,realsec=0.141158 ,CameraLM[6][0]=5.61941,CameraLM[6][1]=-0.174575
ALLrealsec=25.4689 ,realsec=0.121136 ,CameraLM[6][0]=5.66061,CameraLM[6][1]=-0.174575
ALLrealsec=25.5831 ,realsec=0.114184 ,CameraLM[6][0]=5.66061,CameraLM[6][1]=-0.174575
ALLrealsec=25.6772 ,realsec=0.094071 ,CameraLM[6][0]=5.66061,CameraLM[6][1]=-0.174575
ALLrealsec=25.7933 ,realsec=0.11613 ,CameraLM[6][0]=5.61941,CameraLM[6][1]=-0.174575
ALLrealsec=26.0064 ,realsec=0.213102 ,CameraLM[6][0]=5.53764,CameraLM[6][1]=-0.174575
ALLrealsec=26.2097 ,realsec=0.11427 ,CameraLM[6][0]=5.58153,CameraLM[6][1]=-0.177725
ALLrealsec=26.3408 ,realsec=0.131163 ,CameraLM[6][0]=5.58472,CameraLM[6][1]=-0.180872
ALLrealsec=26.5922 ,realsec=0.136792 ,CameraLM[6][0]=5.58796,CameraLM[6][1]=-0.184015
ALLrealsec=26.6829 ,realsec=0.090647 ,CameraLM[6][0]=5.62903,CameraLM[6][1]=-0.184015
ALLrealsec=26.8856 ,realsec=0.092117 ,CameraLM[6][0]=5.55039,CameraLM[6][1]=-0.187155
ALLrealsec=27.0002 ,realsec=0.114639 ,CameraLM[6][0]=5.55039,CameraLM[6][1]=-0.187155
ALLrealsec=27.0888 ,realsec=0.088644 ,CameraLM[6][0]=5.43177,CameraLM[6][1]=-0.188723
ALLrealsec=27.1999 ,realsec=0.111112 ,CameraLM[6][0]=5.47119,CameraLM[6][1]=-0.188723
ALLrealsec=27.2872 ,realsec=0.087295 ,CameraLM[6][0]=5.39229,CameraLM[6][1]=-0.188723
ALLrealsec=27.4835 ,realsec=0.086837 ,CameraLM[6][0]=5.35812,CameraLM[6][1]=-0.193423
ALLrealsec=27.5996 ,realsec=0.116072 ,CameraLM[6][0]=5.39719,CameraLM[6][1]=-0.193423
ALLrealsec=27.6883 ,realsec=0.088713 ,CameraLM[6][0]=5.39719,CameraLM[6][1]=-0.193423
ALLrealsec=27.7997 ,realsec=0.111391 ,CameraLM[6][0]=5.55881,CameraLM[6][1]=-0.194987
ALLrealsec=27.8913 ,realsec=0.091551 ,CameraLM[6][0]=5.35977,CameraLM[6][1]=-0.194987
ALLrealsec=28.0061 ,realsec=0.11489 ,CameraLM[6][0]=5.35812,CameraLM[6][1]=-0.193423
ALLrealsec=28.2071 ,realsec=0.108595 ,CameraLM[6][0]=5.32116,CameraLM[6][1]=-0.194987
ALLrealsec=28.3379 ,realsec=0.130844 ,CameraLM[6][0]=5.32116,CameraLM[6][1]=-0.194987
