ALLrealsec=23.6476 ,realsec=0.122903 ,Est_RobotX=1.1959,Est_RobotY=0.736835,Est_RobotTH=1.56149
ALLrealsec=23.7338 ,realsec=0.086176 ,Est_RobotX=1.1986,Est_RobotY=0.787057,Est_RobotTH=1.57126
ALLrealsec=23.8915 ,realsec=0.157647 ,Est_RobotX=1.20212,Est_RobotY=0.856827,Est_RobotTH=1.57139
ALLrealsec=23.985 ,realsec=0.093549 ,Est_RobotX=1.20539,Est_RobotY=0.907878,Est_RobotTH=1.5732
ALLrealsec=24.0412 ,realsec=0.056196 ,Est_RobotX=1.20968,Est_RobotY=0.957598,Est_RobotTH=1.57263
ALLrealsec=24.1492 ,realsec=0.108003 ,Est_RobotX=1.21245,Est_RobotY=0.995492,Est_RobotTH=1.55757
ALLrealsec=24.2671 ,realsec=0.117853 ,Est_RobotX=1.20955,Est_RobotY=0.972202,Est_RobotTH=1.53683
ALLrealsec=24.4018 ,realsec=0.134731 ,Est_RobotX=1.20757,Est_RobotY=0.956098,Est_RobotTH=1.50403
ALLrealsec=24.4875 ,realsec=0.08566 ,Est_RobotX=1.06261,Est_RobotY=0.976481,Est_RobotTH=0.933045
ALLrealsec=24.651 ,realsec=0.163573 ,Est_RobotX=1.04153,Est_RobotY=0.952675,Est_RobotTH=0.85034
ALLrealsec=24.7011 ,realsec=0.050028 ,Est_RobotX=1.00431,Est_RobotY=0.898848,Est_RobotTH=0.785689
ALLrealsec=24.7947 ,realsec=0.093627 ,Est_RobotX=0.95251,Est_RobotY=0.786807,Est_RobotTH=0.849565
ALLrealsec=24.8894 ,realsec=0.094659 ,Est_RobotX=0.876703,Est_RobotY=0.625692,Est_RobotTH=0.972814
ALLrealsec=25.002 ,realsec=0.112672 ,Est_RobotX=0.799779,Est_RobotY=0.43786,Est_RobotTH=1.06234
ALLrealsec=25.0915 ,realsec=0.089491 ,Est_RobotX=0.733083,Est_RobotY=0.295469,Est_RobotTH=1.09558
ALLrealsec=25.2066 ,realsec=0.115094 ,Est_RobotX=0.696295,Est_RobotY=0.180378,Est_RobotTH=1.00888
ALLrealsec=25.3478 ,realsec=0.141158 ,Est_RobotX=0.67308,Est_RobotY=0.127453,Est_RobotTH=0.95447
ALLrealsec=25.4689 ,realsec=0.121136 ,Est_RobotX=0.673343,Est_RobotY=0.160284,Est_RobotTH=1.06895
ALLrealsec=25.5831 ,realsec=0.114184 ,Est_RobotX=0.674841,Est_RobotY=0.195983,Est_RobotTH=1.18174
ALLrealsec=25.6772 ,realsec=0.094071 ,Est_RobotX=0.67579,Est_RobotY=0.228903,Est_RobotTH=1.2536
ALLrealsec=25.7933 ,realsec=0.11613 ,Est_RobotX=0.67926,Est_RobotY=0.267413,Est_RobotTH=1.30155
ALLrealsec=26.0064 ,realsec=0.213102 ,Est_RobotX=0.688105,Est_RobotY=0.332662,Est_RobotTH=1.37195
ALLrealsec=26.0954 ,realsec=0.089018 ,Est_RobotX=0.690116,Est_RobotY=0.363361,Est_RobotTH=1.39687
ALLrealsec=26.2097 ,realsec=0.11427 ,Est_RobotX=0.692679,Est_RobotY=0.402596,Est_RobotTH=1.41873
ALLrealsec=26.3408 ,realsec=0.131163 ,Est_RobotX=0.696166,Est_RobotY=0.446247,Est_RobotTH=1.44335
ALLrealsec=26.4555 ,realsec=0.114614 ,Est_RobotX=0.699002,Est_RobotY=0.483287,Est_RobotTH=1.45557
ALLrealsec=26.5922 ,realsec=0.136792 ,Est_RobotX=0.702418,Est_RobotY=0.528874,Est_RobotTH=1.46598
ALLrealsec=26.6829 ,realsec=0.090647 ,Est_RobotX=0.704722,Est_RobotY=0.563011,Est_RobotTH=1.47466
ALLrealsec=26.7934 ,realsec=0.11054 ,Est_RobotX=0.707374,Est_RobotY=0.599449,Est_RobotTH=1.47873
ALLrealsec=26.8856 ,realsec=0.092117 ,Est_RobotX=0.709827,Est_RobotY=0.634991,Est_RobotTH=1.4826
ALLrealsec=27.0002 ,realsec=0.114639 ,Est_RobotX=0.712741,Est_RobotY=0.675083,Est_RobotTH=1.48538
ALLrealsec=27.0888 ,realsec=0.088644 ,Est_RobotX=0.715164,Est_RobotY=0.70973,Est_RobotTH=1.48703
ALLrealsec=27.1999 ,realsec=0.111112 ,Est_RobotX=0.718172,Est_RobotY=0.750641,Est_RobotTH=1.48947
